"minute","result","X","Y","xG","player","h_a","situation","shotType","home_team","away_team","home_goals","away_goals","date","player_assisted","lastAction","Outcome","zone"
82,"MissedShots",100.590003204346,39.1,0.114022433757782,"Ben Mee","h","FromCorner","RightFoot","Burnley","Tottenham",1,0,"2022-02-23 19:30:00",NA,"None","NoGoal","zone1"
82,"MissedShots",100.170001602173,39.3720010375976,0.0970038548111916,"Ben Mee","h","FromCorner","LeftFoot","Burnley","Tottenham",1,0,"2022-02-23 19:30:00","Jack Cork","BallTouch","NoGoal","zone1"
82,"MissedShots",101.429998397827,32.2320010375976,0.696440041065216,"Jay Rodriguez","h","FromCorner","RightFoot","Burnley","Tottenham",1,0,"2022-02-23 19:30:00","Ben Mee","Rebound","NoGoal","zone1"
85,"MissedShots",77.0700016021729,30.3279989624023,0.0225238278508186,"Josh Brownhill","h","OpenPlay","RightFoot","Burnley","Tottenham",1,0,"2022-02-23 19:30:00","Connor Roberts","Pass","NoGoal","zone3"
89,"MissedShots",93.7650032043457,31.0079989624023,0.0702589228749275,"James Tarkowski","h","SetPiece","Head","Burnley","Tottenham",1,0,"2022-02-23 19:30:00","Josh Brownhill","Cross","NoGoal","zone2"
19,"MissedShots",90.825,35.7,0.109495468437672,"Cristian Romero","a","OpenPlay","LeftFoot","Burnley","Tottenham",1,0,"2022-02-23 19:30:00","Dejan Kulusevski","Pass","NoGoal","zone2"
32,"MissedShots",84.9450016021728,24.5479989624023,0.0393034368753433,"Emerson","a","OpenPlay","LeftFoot","Burnley","Tottenham",1,0,"2022-02-23 19:30:00","Harry Kane","TakeOn","NoGoal","zone3"
42,"BlockedShot",77.175,45.6959979248047,0.0132786678150296,"Harry Kane","a","OpenPlay","RightFoot","Burnley","Tottenham",1,0,"2022-02-23 19:30:00","Ryan Sessegnon","Pass","NoGoal","zone3"
46,"ShotOnPost",97.2299983978272,34.0679989624023,0.0686853975057602,"Harry Kane","a","SetPiece","Head","Burnley","Tottenham",1,0,"2022-02-23 19:30:00","Son Heung-Min","Aerial","NoGoal","zone2"
59,"MissedShots",77.8049983978271,20.06,0.0147470999509096,"Harry Kane","a","OpenPlay","LeftFoot","Burnley","Tottenham",1,0,"2022-02-23 19:30:00","Emerson","Pass","NoGoal","zone3"
63,"MissedShots",93.2400032043457,36.7879989624023,0.0676024928689003,"Dejan Kulusevski","a","FromCorner","LeftFoot","Burnley","Tottenham",1,0,"2022-02-23 19:30:00","Emerson","Chipped","NoGoal","zone2"
63,"SavedShot",97.125,28.0160005187989,0.0867998152971268,"Ben Davies","a","FromCorner","LeftFoot","Burnley","Tottenham",1,0,"2022-02-23 19:30:00","Emerson","Pass","NoGoal","zone2"
66,"BlockedShot",93.7650032043457,19.38,0.0453575141727924,"Dejan Kulusevski","a","OpenPlay","LeftFoot","Burnley","Tottenham",1,0,"2022-02-23 19:30:00","Son Heung-Min","Pass","NoGoal","zone2"
66,"BlockedShot",84,22.7120010375977,0.0234719701111317,"Cristian Romero","a","OpenPlay","RightFoot","Burnley","Tottenham",1,0,"2022-02-23 19:30:00","Dejan Kulusevski","Pass","NoGoal","zone3"
68,"MissedShots",93.3450016021728,22.6439994812011,0.0711032301187515,"Dejan Kulusevski","a","OpenPlay","LeftFoot","Burnley","Tottenham",1,0,"2022-02-23 19:30:00","Son Heung-Min","Pass","NoGoal","zone2"
84,"MissedShots",89.1450016021728,29.24,0.0479161515831947,"Lucas Moura","a","OpenPlay","RightFoot","Burnley","Tottenham",1,0,"2022-02-23 19:30:00","Cristian Romero","HeadPass","NoGoal","zone2"
86,"SavedShot",95.4450016021729,40.6639994812011,0.103893801569939,"Steven Bergwijn","a","OpenPlay","RightFoot","Burnley","Tottenham",1,0,"2022-02-23 19:30:00","Son Heung-Min","Pass","NoGoal","zone2"
16,"BlockedShot",89.8799983978272,47.8720010375976,0.0378534570336342,"Emmanuel Dennis","h","OpenPlay","RightFoot","Watford","Crystal Palace",1,4,"2022-02-23 19:30:00","Tom Cleverley","Pass","NoGoal","zone3"
17,"Goal",103.215003204346,35.6320010375977,0.669877171516418,"Moussa Sissoko","h","FromCorner","Head","Watford","Crystal Palace",1,4,"2022-02-23 19:30:00","Kiko FemenÃ­a","Aerial","Goal","zone1"
20,"MissedShots",97.125,36.3120010375977,0.0666428729891777,"Emmanuel Dennis","h","OpenPlay","Head","Watford","Crystal Palace",1,4,"2022-02-23 19:30:00","Moussa Sissoko","Aerial","NoGoal","zone2"
27,"BlockedShot",83.5799983978272,26.7920010375977,0.0277417302131653,"Ismaila Sarr","h","OpenPlay","LeftFoot","Watford","Crystal Palace",1,4,"2022-02-23 19:30:00","Emmanuel Dennis","Pass","NoGoal","zone3"
65,"MissedShots",101.009996795654,31.5520010375977,0.615759909152985,"Emmanuel Dennis","h","SetPiece","RightFoot","Watford","Crystal Palace",1,4,"2022-02-23 19:30:00","Craig Cathcart","HeadPass","NoGoal","zone1"
71,"BlockedShot",93.975,37.06,0.0161635745316744,"Samir","h","FromCorner","Head","Watford","Crystal Palace",1,4,"2022-02-23 19:30:00","Kiko FemenÃ­a","Aerial","NoGoal","zone2"
